linux-amd64-noopt at 9a1d3b0ad20ba5d73ba3a88c86563ae7b4cf03ca

:: Running /workdir/go/src/make.bash with args ["/workdir/go/src/make.bash"] and env ["PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin" "HOSTNAME=buildlet-linux-amd64-bullseye-rnaf1b1ce" "DEBIAN_FRONTEND=noninteractive" "HOME=/root" "USER=root" "GO_STAGE0_NET_DELAY=0s" "GO_STAGE0_DL_DELAY=200ms" "WORKDIR=/workdir" "GOROOT_BOOTSTRAP=/workdir/go1.4" "GO_BUILDER_NAME=linux-amd64-noopt" "GO_DISABLE_OUTBOUND_NETWORK=1" "GO_GCFLAGS=-N -l" "GOBIN=" "TMPDIR=/workdir/tmp" "GOCACHE=/workdir/gocache" "PWD=/workdir/go/src"] in dir /workdir/go/src

Building Go cmd/dist using /workdir/go1.4. (go1.17.13 linux/amd64)
Building Go toolchain1 using /workdir/go1.4.
Building Go bootstrap cmd/go (go_bootstrap) using Go toolchain1.
Building Go toolchain2 using go_bootstrap and Go toolchain1.
Building Go toolchain3 using go_bootstrap and Go toolchain2.
Building packages and commands for linux/amd64.
---
Installed Go for linux/amd64 in /workdir/go
Installed commands in /workdir/go/bin

##### Test execution environment.
# GOARCH: amd64
# CPU: Intel(R) Xeon(R) CPU @ 2.20GHz
# GOOS: linux
# OS Version: Linux 5.10.133+ #1 SMP Tue Aug 9 15:29:43 UTC 2022 x86_64

##### Testing packages.
ok  	archive/tar	0.034s
ok  	archive/zip	0.543s
ok  	bufio	0.088s
ok  	bytes	1.116s
ok  	compress/bzip2	0.155s
ok  	compress/flate	0.965s
ok  	compress/gzip	2.406s
ok  	compress/lzw	0.117s
ok  	compress/zlib	0.967s
ok  	container/heap	0.005s
ok  	container/list	0.003s
ok  	container/ring	0.004s
ok  	context	0.013s
ok  	crypto	0.003s
ok  	crypto/aes	0.051s
ok  	crypto/cipher	0.009s
ok  	crypto/des	0.011s
ok  	crypto/dsa	0.004s
ok  	crypto/ecdh	0.255s
ok  	crypto/ecdsa	0.015s
ok  	crypto/ed25519	0.052s
ok  	crypto/elliptic	0.019s
ok  	crypto/hmac	0.004s
ok  	crypto/internal/alias	0.003s
ok  	crypto/internal/boring	0.003s
ok  	crypto/internal/boring/bcache	0.090s
ok  	crypto/internal/edwards25519	8.344s
ok  	crypto/internal/edwards25519/field	5.428s
ok  	crypto/internal/nistec	0.228s
ok  	crypto/internal/nistec/fiat	0.003s [no tests to run]
ok  	crypto/md5	0.007s
ok  	crypto/rand	0.078s
ok  	crypto/rc4	0.085s
ok  	crypto/rsa	0.134s
ok  	crypto/sha1	0.018s
ok  	crypto/sha256	0.005s
ok  	crypto/sha512	0.007s
ok  	crypto/subtle	0.165s
ok  	crypto/tls	0.794s
ok  	crypto/x509	0.642s
ok  	database/sql	0.281s
ok  	database/sql/driver	0.003s
ok  	debug/buildinfo	0.004s
ok  	debug/dwarf	0.026s
ok  	debug/elf	0.023s
ok  	debug/gosym	0.028s
